Date,Time,Open,High,Low,Close,Volume
1/20/2017,14:40:00,8356.4,8356.65,8355.05,8355.5,30900
1/20/2017,14:41:00,8356.45,8357.4,8352.25,8355.6,50400
1/20/2017,14:42:00,8355.1,8355.8,8353.55,8353.55,20175
1/20/2017,14:43:00,8352.95,8355.95,8352.2,8355.45,19950
1/20/2017,14:44:00,8357,8357.65,8355.25,8356.15,21900
1/20/2017,14:45:00,8357.95,8358.75,8356.95,8356.95,43425
1/20/2017,14:46:00,8358,8359,8357,8359,32700
1/20/2017,14:47:00,8359,8362,8359,8361.6,24825
1/20/2017,14:48:00,8361.6,8366.35,8361.6,8366.2,60000
1/20/2017,14:49:00,8366,8366.65,8363.55,8363.85,61725
1/20/2017,14:50:00,8362.65,8362.7,8361.6,8362.15,24750
1/20/2017,14:51:00,8360.3,8360.95,8359.35,8360.95,15600
1/20/2017,14:52:00,8359.55,8360.05,8358.55,8358.55,10800
1/20/2017,14:53:00,8359,8360.25,8358.35,8360.25,7425
1/20/2017,14:54:00,8358.1,8359.6,8358.1,8358.5,23625
1/20/2017,14:55:00,8355.75,8360,8355.75,8360,24900
1/20/2017,14:56:00,8360.15,8361.7,8360.05,8361.25,15525
1/20/2017,14:57:00,8360.5,8360.95,8360.15,8360.9,12375
1/20/2017,14:58:00,8361.1,8363,8360,8360.75,28050
1/20/2017,14:59:00,8362,8364.45,8362,8364.45,16725
1/20/2017,15:00:00,8364.55,8367.45,8363.6,8366.95,42825
1/20/2017,15:01:00,8366.05,8370.3,8366.05,8366.6,64575
1/20/2017,15:02:00,8368.25,8368.95,8366.05,8366.85,24225
1/20/2017,15:03:00,8366,8366.8,8363.35,8363.55,34050
1/20/2017,15:04:00,8364.9,8366.5,8363,8363.2,19875
1/20/2017,15:05:00,8363.9,8364.2,8361.85,8362,16050
1/20/2017,15:06:00,8362.4,8366.05,8362.4,8363.45,19425
1/20/2017,15:07:00,8364.35,8365.6,8363.65,8365.5,20475
1/20/2017,15:08:00,8365,8365.25,8363.55,8363.65,38100
1/20/2017,15:09:00,8364,8364.5,8361.2,8362.05,32100
1/20/2017,15:10:00,8362.05,8362.8,8360.8,8361.55,30600
1/20/2017,15:11:00,8361.55,8362.95,8361.25,8362.1,32100
1/20/2017,15:12:00,8362,8362,8360.1,8360.1,48375
1/20/2017,15:13:00,8360.1,8360.25,8358.25,8358.65,40800
1/20/2017,15:14:00,8358.4,8361.45,8358.25,8361.45,31500
1/20/2017,15:15:00,8361.2,8362,8358.5,8359.65,49950
1/20/2017,15:16:00,8359.25,8360.2,8358,8359.25,65025
1/20/2017,15:17:00,8359.35,8360.35,8358.8,8360.35,52650
1/20/2017,15:18:00,8360,8361,8358.6,8358.95,59025
1/20/2017,15:19:00,8358.85,8362.35,8358.85,8361.05,67500
1/20/2017,15:20:00,8362,8363.35,8359.2,8360.4,73800
1/20/2017,15:21:00,8360.5,8361,8358.75,8361,112725
1/20/2017,15:22:00,8361,8362.1,8360.6,8362.1,61425
1/20/2017,15:23:00,8362.25,8363.8,8360.95,8363.5,59175
1/20/2017,15:24:00,8365,8365,8363.65,8363.9,60975
1/20/2017,15:25:00,8363.95,8364.9,8363,8364.4,90750
1/20/2017,15:26:00,8364.05,8364.85,8363,8364.85,96675
1/20/2017,15:27:00,8364.25,8365.5,8364,8364.2,110625
1/20/2017,15:28:00,8364.2,8364.2,8363.05,8364,76875
1/20/2017,15:29:00,8363.85,8364.5,8363,8363,88725
1/20/2017,15:30:00,8363,8363,8363,8363,2475
1/23/2017,09:15:00,8349.85,8356.85,8333.4,8351.2,136575
1/23/2017,09:16:00,8352.2,8352.6,8346.1,8352,56325
1/23/2017,09:17:00,8352.05,8353.9,8352.05,8353.75,48300
1/23/2017,09:18:00,8354,8357.95,8353.5,8354,44550
1/23/2017,09:19:00,8354,8354.55,8349.75,8350,45750
1/23/2017,09:20:00,8349.95,8350,8347,8348.15,30450
1/23/2017,09:21:00,8348.15,8349.05,8343.75,8347.5,27825
1/23/2017,09:22:00,8349.55,8350,8346.55,8348,26850
1/23/2017,09:23:00,8349.25,8352,8348.55,8350.55,24750
1/23/2017,09:24:00,8350.55,8350.95,8346,8347.8,27450
1/23/2017,09:25:00,8343.95,8346.45,8342.8,8344,29400
1/23/2017,09:26:00,8345,8350.5,8345,8349.55,35775
1/23/2017,09:27:00,8349.55,8350.65,8348.2,8350.05,24300
1/23/2017,09:28:00,8350,8350.65,8348,8350,27525
1/23/2017,09:29:00,8352.95,8353,8350.35,8351.75,21000
1/23/2017,09:30:00,8352,8354.5,8351.55,8353.9,22275
1/23/2017,09:31:00,8352.7,8353.95,8351.5,8353.65,15750
1/23/2017,09:32:00,8354.3,8359,8354,8356.55,37950
1/23/2017,09:33:00,8357.4,8367.35,8357,8367.3,58200
1/23/2017,09:34:00,8367.8,8377.8,8367.8,8377.35,99900
1/23/2017,09:35:00,8377.4,8382.15,8377.2,8377.9,106725
1/23/2017,09:36:00,8377.65,8393.7,8377.65,8393.7,159900
1/23/2017,09:37:00,8392.55,8403.2,8392.55,8394.4,253725
1/23/2017,09:38:00,8394.2,8396,8390.35,8390.45,70125
